tenure,MonthlyCharges,segment,energy_output
48,105.80389311980173,midmarket,158.2494534143636
58,102.87980709765223,midmarket,164.32227315479648
2,33.97892985427163,enterprise,47.733311522307666
58,72.71064765570826,smb,169.3791992644064
34,45.81414969163064,enterprise,103.06017677408475
37,69.17757000188362,midmarket,120.52950698713283
45,75.32060059492488,smb,133.2272552652545
21,30.62620511987572,smb,80.42124085923481
70,106.43755631011325,smb,186.7819639173445
4,47.869631903431205,smb,63.612449931705896
20,64.71233215743733,midmarket,86.38830752134643
28,25.725859671574874,smb,80.14808145304974
41,20.274520640823784,midmarket,121.64082768917399
30,39.51595215969862,smb,103.6537206246999
10,54.16751841183407,enterprise,70.06970033260612
4,112.81134210145737,enterprise,79.87949499635589
1,108.97282885095474,enterprise,67.79370205095763
4,68.05010166461464,smb,59.67776198398189
11,65.47598185825812,midmarket,77.06070902936813
71,86.69930438538807,enterprise,193.6505062811449
14,105.8754902459854,enterprise,97.85209600495949
47,53.7297505748699,smb,134.68071861486914
54,99.3654527758656,midmarket,159.1795799129175
17,59.89872530880439,smb,80.4120298830163
21,79.40538823877074,midmarket,102.24948415265773
31,93.7466982790227,smb,127.25085308740135
19,70.13572044171262,midmarket,86.69962781408279
70,89.07757712066994,enterprise,184.31332797696777
13,89.7313482358801,midmarket,92.29126990224424
64,20.57126899279182,enterprise,156.74183828627778
57,23.90655332558144,smb,145.15084280410537
60,34.903831081554955,smb,142.34233890082422
9,41.363513434923256,midmarket,58.43468505342478
28,40.321460709453184,enterprise,91.42253807308356
45,24.896558175294963,enterprise,120.96122331562142
36,41.72114022497799,smb,99.29274720035659
48,80.09473694002969,smb,152.06367477781367
49,108.60751614303531,smb,158.0134214221657
48,54.95038076728312,midmarket,138.24165542142788
5,56.640479890638225,midmarket,51.71932570041414
69,61.6741733144769,midmarket,175.62743843185788
40,88.03417830461306,smb,140.81986413555595
65,98.52739522088117,enterprise,172.0664147125549
20,114.09580823095943,enterprise,107.76814122510113
26,57.57000414797116,smb,101.14233093767625
63,90.67742044739231,midmarket,170.9854145380641
14,54.16340099741699,midmarket,79.04563771870738
5,102.40017986428428,midmarket,72.85964876911456
27,43.06489037388383,enterprise,101.05131094904868
49,107.1013711841216,midmarket,158.8505505669935
9,70.51052531003721,enterprise,72.22487917288336
62,92.53440316687976,smb,186.04053699689243
25,73.49930147477082,midmarket,105.71613426641434
17,51.61213492856195,enterprise,86.51606147688669
39,69.43018992384532,enterprise,117.36344843996258
64,25.045041365802096,enterprise,150.08612207171868
63,24.299256490461367,midmarket,156.9241537892521
62,72.99633264027295,midmarket,172.5823876040861
22,67.71744759028155,enterprise,92.96666647665775
2,103.31373261831118,smb,74.43816562176293
56,22.012261791256087,enterprise,132.1541691500601
51,75.68838106983361,enterprise,149.57394472876402
55,69.06371043484825,midmarket,146.28859546256982
1,79.79971375506575,enterprise,61.77332301694164
3,92.95786241277247,enterprise,65.01822040163042
36,72.47406088032965,midmarket,116.31993620824971
24,76.30382203563717,smb,100.24413189356882
32,69.17838796084666,midmarket,122.71719616846418
67,81.52069989105055,midmarket,173.0616745551352
15,44.812721505285815,smb,69.07394882999878
38,75.26134291115301,midmarket,131.1474548933151
24,87.23868184112789,smb,101.19213862440273
21,39.111278090273785,smb,92.10453299485366
58,119.03670805639358,midmarket,177.39802604281604
11,94.6459479329557,midmarket,83.46987326144081
23,115.53312668018795,smb,113.97789917124307
9,49.39463711882543,smb,73.93520057068132
11,64.34928765948256,midmarket,76.25441988776291
20,46.1438554478015,smb,85.25062220418337
50,24.66916153719248,smb,130.14535311691736
42,21.667683827057097,smb,103.8091763396672
32,44.6747841159748,smb,97.92454227172027
13,106.12625322502753,enterprise,99.4442533549832
57,36.36941606002523,enterprise,150.2605656125394
57,88.96226001890659,midmarket,166.77318017765887
17,44.93818903917911,midmarket,80.15074253019246
5,26.558293665733817,midmarket,45.03384447033327
23,39.24865624147492,smb,87.16481529054889
11,87.79263430704468,smb,75.12265422537155
57,70.16562047835261,enterprise,159.5061410955844
37,74.90310411105226,enterprise,118.53127577462678
37,65.31642783386005,enterprise,118.17783076691394
21,47.43479267483412,midmarket,87.12266650518065
36,68.83478310464564,enterprise,116.93144786640323
69,112.2446127289036,enterprise,197.37110599239793
17,40.149492808148175,enterprise,77.3885521402229
55,93.27341053629873,enterprise,163.8024425099711
2,45.11296792509062,smb,57.33600707083776
23,39.3416047946307,midmarket,76.32625361929334
67,52.384538165328806,midmarket,159.35689468490762
62,29.27791686178432,midmarket,155.5447216530892
7,113.53742926722212,midmarket,87.98286481361346
60,56.51339980916557,midmarket,169.84953249949538
60,37.58376731438397,smb,155.6918593539834
33,20.000136012574192,midmarket,101.38133759432655
27,26.04275084486785,enterprise,82.41648248665877
70,41.4651458203167,enterprise,175.0285317019252
68,61.76536525414942,midmarket,178.06091146740394
49,80.15702312396175,smb,139.9197669584091
29,118.10306173910445,midmarket,118.15816655439804
15,109.04772096978108,midmarket,94.50051512262773
67,44.22540820564365,enterprise,167.8084153791161
20,81.15452373176544,enterprise,76.73537007423593
40,112.1541830487904,smb,141.675797128198
48,30.160234791376975,enterprise,128.34120915361987
18,105.40389353865469,smb,98.23034457990998
23,59.60706942515036,midmarket,93.86342368720157
53,98.16874359586504,enterprise,162.4944976481711
15,52.259717169370205,smb,69.2210727860287
48,82.57228448212014,smb,147.79738057960674
68,70.70158292768579,enterprise,175.63771082629697
49,30.4421205728474,smb,123.17946952775984
46,95.98020956557112,midmarket,147.64791811100687
33,102.29442452144775,smb,134.1289140210385
69,68.29848515184116,smb,169.3437763031934
16,58.80103284722403,smb,69.4617020019434
26,114.74916700743034,midmarket,107.0432115530481
46,57.43096357283394,midmarket,144.76470776725702
47,107.96188144638107,midmarket,150.87715601402192
8,61.857405254944126,smb,65.69317131711091
12,57.35161919128185,midmarket,66.9536124029332
50,56.142763529552255,smb,134.0072805320545
60,25.99974863601025,midmarket,134.93875106227654
46,47.7318609307478,smb,130.52858908919487
67,42.94801264014173,smb,167.18916334957808
27,26.234436049109625,smb,75.92284830275659
24,74.15686409685118,midmarket,92.89600737474376
57,64.22011158319407,enterprise,150.6123565171627
3,22.51083393229974,enterprise,43.122777149668075
14,35.591910712277546,enterprise,69.12194375126197
14,111.87073932897832,smb,101.10951657525112
28,33.36050711860006,enterprise,100.26291360638679
12,57.332821932937776,midmarket,78.07721474974824
57,115.07765881800887,midmarket,180.92635177532028
61,31.335589292157643,smb,143.7689561104833
28,60.982849004837426,smb,98.41704656181545
3,100.11138329902307,enterprise,77.30064295627818
51,21.90834612243623,midmarket,131.19988761520005
8,26.78240445223286,midmarket,53.88617187033551
44,112.99284855272455,midmarket,136.87356798723295
13,88.42315974268082,midmarket,73.19264834728793
67,46.10379287722549,midmarket,171.12166404221608
49,68.02392117018856,smb,144.05783077901665
71,44.894788840437485,enterprise,171.7368303490373
44,109.24385897581463,enterprise,144.95752024954945
52,114.98078867581891,enterprise,153.48666027524555
27,27.10268943378056,midmarket,90.31323213605809
58,72.40841533325433,enterprise,165.9494701607443
9,38.403820755506764,enterprise,69.49436313957855
11,60.43822418687677,midmarket,71.24820616622374
26,94.11945602791167,smb,108.51662951704904
51,91.33279179114868,smb,147.19049485259757
35,38.98148451543773,midmarket,113.98298157159358
61,53.22775993883879,enterprise,168.670849153935
67,62.52674914977768,midmarket,168.80534216574802
29,58.62852539808678,enterprise,104.46453650711189
31,88.21418587149134,smb,117.2189856888554
40,98.83534307993358,smb,133.14940613752827
46,53.54302277197443,midmarket,116.55536059927488
35,64.1216541812394,smb,113.24658433056953
43,26.730397470067206,smb,120.40030397736491
69,56.68071629127789,midmarket,165.37843852651577
53,114.69578932782217,enterprise,160.51023867166404
23,70.21780253920161,enterprise,76.27486796139098
31,75.71904533793476,smb,120.00883216727979
29,80.61164859959558,enterprise,113.41573524065969
11,76.71791062584202,smb,76.92413989275782
1,100.44566252955158,smb,65.3331415568974
57,45.9576439617769,enterprise,144.86147632870893
30,51.6581419227307,smb,101.60751214449611
25,108.68231001722563,enterprise,111.17691891340608
45,69.99310595243412,midmarket,134.0074467606573
41,115.98375673046525,midmarket,144.19144817743808
67,33.894230016296284,midmarket,163.21688629890943
44,98.3158585247966,midmarket,152.90442099274293
66,67.30159918621717,enterprise,163.65896528238773
42,67.3850128555205,enterprise,130.75656624876194
24,108.10753654030286,midmarket,107.29027288461512
23,33.06450660223412,enterprise,76.13569019001227
71,71.44471674549432,midmarket,168.59662603016957
42,44.957634633686354,smb,124.97652497881974
14,54.28289308364734,smb,68.25673714556737
59,101.73229478374829,smb,167.24818733629752
59,59.81608154465375,midmarket,159.8949006966896
1,98.4412437907899,smb,59.69359726025126
12,21.348931788309127,midmarket,59.16839690689388
50,119.93380546122823,smb,161.4675494869003
29,115.52663931260582,enterprise,127.38538409966228
25,87.85007128570157,enterprise,111.75137060423556
6,39.68148148765791,smb,49.42740744581943
