entity_id,as_of_date,engagement_score,num_interactions,last_contact_days_ago,amount,source,sales_rep_available,industry,deal_size_band,converted
L-01481,2023-01-01,0.7052400587918379,10,19,11176.813316748414,organic,0,retail,large,1
L-03673,2023-01-01,0.5491405768855797,8,36,4794.865189294402,outbound,1,healthcare,medium,0
L-01408,2023-01-01,0.5059755039111326,3,56,5860.656176929211,organic,1,saas,medium,1
L-02441,2023-01-01,0.3146878632891922,1,31,18056.516307621892,organic,1,finance,large,1
L-01948,2023-01-01,0.8757460163596469,4,44,12034.455737696511,outbound,0,saas,large,1
L-02315,2023-01-01,0.6196773621357177,1,0,11115.009293465868,organic,1,finance,large,1
L-01995,2023-01-01,0.014126574909854583,0,20,8833.812060304354,paid_search,0,manufacturing,large,0
L-01487,2023-01-01,0.7461335557293095,4,6,11553.373618772534,outbound,0,saas,large,1
L-02258,2023-01-01,0.9561874150536347,3,22,5280.014777188182,referral,0,healthcare,medium,1
L-02788,2023-01-02,0.13683178400394735,3,9,3116.165040480192,paid_search,1,finance,medium,1
L-02627,2023-01-02,0.33092077981446666,4,7,7100.414956488121,paid_search,1,finance,medium,1
L-03233,2023-01-02,0.4050267265009778,2,4,6209.05614976384,organic,0,healthcare,medium,0
L-01236,2023-01-02,0.9541082790700076,3,22,8667.746688863203,referral,0,healthcare,large,0
L-01621,2023-01-02,0.2775111194340152,0,38,2116.7614565209374,event,1,finance,small,1
L-00772,2023-01-02,0.8874228981367364,0,42,3259.5739915311124,referral,0,manufacturing,medium,0
L-00900,2023-01-02,0.3839518134771782,3,32,6035.5222945917,paid_search,0,finance,medium,0
L-01912,2023-01-02,0.8654318556221002,5,15,2898.5723790680213,organic,0,saas,small,1
L-03190,2023-01-02,0.60841674654393,3,33,3022.519812759697,paid_search,0,finance,medium,1
L-01738,2023-01-02,0.7957950048053125,5,18,4386.129232048209,outbound,1,finance,medium,1
L-01549,2023-01-02,0.8519650356015908,1,3,3894.505512993488,paid_search,1,retail,medium,1
L-01293,2023-01-02,0.49156576733699897,1,24,3812.1438041077736,event,0,retail,medium,0
L-00464,2023-01-03,0.22173798763709895,4,10,4737.559104096472,organic,0,finance,medium,1
L-00845,2023-01-03,0.5878219295690292,5,26,8549.001649461414,organic,0,healthcare,large,0
L-02400,2023-01-03,0.798007854884586,1,57,25523.263379287273,organic,0,finance,large,1
L-00103,2023-01-03,0.9369072881309537,2,17,2854.000610120368,paid_search,0,saas,small,1
L-00574,2023-01-03,0.5452049012226401,3,9,5636.280310726493,event,1,finance,medium,1
L-02645,2023-01-03,0.9948034245919716,0,7,2858.683230744067,organic,0,saas,small,1
L-00844,2023-01-03,0.2094272814594289,7,20,9315.088568835046,referral,1,saas,large,1
L-00380,2023-01-03,0.8476664679979732,6,19,1943.4751192910996,outbound,1,manufacturing,small,1
L-03216,2023-01-03,0.3751136530755702,2,9,1047.121944242239,paid_search,0,healthcare,small,0
L-01189,2023-01-03,0.2883185678104687,3,16,7824.146996995154,outbound,1,finance,medium,0
L-00302,2023-01-04,0.4716401906243787,2,16,3150.715607807851,paid_search,0,retail,medium,1
L-01278,2023-01-04,0.3238270024634159,2,47,1210.3033621790846,referral,1,finance,small,0
L-00706,2023-01-04,0.8924843372096598,11,2,12376.14119146965,paid_search,1,finance,large,1
L-02201,2023-01-04,0.8062314887229814,1,18,6621.5371921873275,organic,0,manufacturing,medium,1
L-03398,2023-01-04,0.6878370599294981,2,12,3848.0729480057485,outbound,1,finance,medium,1
L-01174,2023-01-04,0.6780115541717961,5,24,4691.870221420229,event,0,saas,medium,1
L-01531,2023-01-04,0.016491258977649914,4,59,4409.243612792404,organic,1,manufacturing,medium,0
L-03724,2023-01-04,0.8004498123184509,4,36,5150.830759812907,organic,1,retail,medium,1
L-01806,2023-01-04,0.6660995535675723,3,26,17455.733835176256,outbound,1,finance,large,1
L-02442,2023-01-04,0.877913776588007,4,21,3833.663182718687,paid_search,1,healthcare,medium,0
L-01681,2023-01-05,0.17100348323615033,2,52,3444.5146321431157,organic,1,healthcare,medium,1
L-00789,2023-01-05,0.3854142314414213,1,48,7010.572835119927,referral,0,saas,medium,1
L-03903,2023-01-05,0.7978245238266289,0,42,4068.745893650775,paid_search,0,saas,medium,0
L-00800,2023-01-05,0.9982284811178539,2,43,4729.98369165711,paid_search,0,retail,medium,1
L-01762,2023-01-05,0.08839023541749746,1,36,10427.228731015066,outbound,0,finance,large,0
L-03798,2023-01-05,0.6595903568712186,5,55,2635.9262969699284,organic,0,saas,small,0
L-03821,2023-01-05,0.8455199378782277,4,20,4014.3704019854263,paid_search,0,healthcare,medium,0
L-01069,2023-01-05,0.448458262268858,2,15,7141.62403330647,paid_search,0,manufacturing,medium,0
L-00838,2023-01-06,0.371711259829534,0,15,2015.7762444546047,organic,1,finance,small,0
L-03102,2023-01-06,0.022800247574969457,5,49,2793.0812539671856,referral,1,finance,small,0
L-01120,2023-01-06,0.16217993494378458,4,28,6744.640844964335,outbound,0,manufacturing,medium,0
L-01037,2023-01-06,0.004984965294472898,2,48,2573.4026328085174,outbound,0,saas,small,1
L-00409,2023-01-06,0.9319443692299963,4,41,4867.366080660313,referral,0,retail,medium,1
L-02974,2023-01-07,0.5821670682445784,4,4,17593.2813917515,organic,1,manufacturing,large,1
L-00888,2023-01-07,0.10830812118899402,0,29,20293.760764099934,outbound,1,manufacturing,large,1
L-03135,2023-01-07,0.5000362149376396,2,55,4859.254019587312,event,1,manufacturing,medium,0
L-03504,2023-01-07,0.8748990705564946,3,41,3019.889748964744,outbound,0,retail,medium,0
L-01623,2023-01-07,0.8355130374309944,2,31,8068.95867586707,organic,1,healthcare,large,1
L-01593,2023-01-08,0.08680044335072334,2,22,3666.471436842546,paid_search,1,finance,medium,1
L-00414,2023-01-08,0.4871154199164217,0,1,4053.298452564467,organic,0,manufacturing,medium,0
L-01651,2023-01-08,0.21019256975102385,6,41,7125.421824692873,paid_search,1,saas,medium,1
L-01365,2023-01-08,0.3303178857754252,3,2,6025.24342119615,organic,0,retail,medium,0
L-00232,2023-01-08,0.09402120216883036,2,21,3054.9560962107016,organic,1,finance,medium,1
L-00477,2023-01-08,0.19302518953937065,4,32,6010.8862440303865,outbound,0,finance,medium,1
L-03857,2023-01-08,0.5137185411670538,2,21,29545.675636217675,organic,1,saas,large,1
L-03897,2023-01-08,0.8407780989404321,2,43,2355.2400383414947,referral,1,finance,small,1
L-02089,2023-01-08,0.1781341437417363,5,28,11689.062880745529,outbound,1,retail,large,0
L-03787,2023-01-09,0.8146662660807785,2,8,1146.89071198,organic,1,retail,small,1
L-00368,2023-01-09,0.3665810634990505,4,43,14762.332759505573,outbound,0,finance,large,1
L-03803,2023-01-09,0.5643533069491241,1,38,9794.324608200028,referral,1,healthcare,large,0
L-01166,2023-01-09,0.09619100001447478,3,46,6892.5658942539985,outbound,0,manufacturing,medium,0
L-02170,2023-01-09,0.96201436381886,2,39,10477.574937991052,organic,0,healthcare,large,1
L-03804,2023-01-09,0.5087608822191797,3,3,7244.068888982292,outbound,1,healthcare,medium,0
L-01528,2023-01-09,0.8376172928554871,2,36,5998.314518149186,paid_search,1,finance,medium,1
L-00299,2023-01-09,0.7294950878609792,3,45,12762.352018369536,organic,1,healthcare,large,1
L-00539,2023-01-09,0.509734659876444,0,28,6960.3977952948935,referral,1,healthcare,medium,1
L-03946,2023-01-10,0.05705891693196119,4,13,1508.0301322595863,referral,1,finance,small,1
L-00169,2023-01-10,0.502512049335146,3,8,9183.221873551125,organic,0,finance,large,1
L-02137,2023-01-10,0.8559708001741249,1,13,1759.6198264118057,outbound,0,saas,small,1
L-01782,2023-01-10,0.9329800266492713,1,34,8803.232985722407,organic,0,saas,large,0
L-02260,2023-01-10,0.9591705390670483,4,24,5028.820823592407,outbound,1,healthcare,medium,0
L-00820,2023-01-10,0.2878090149613679,4,35,2734.3102811817344,organic,0,retail,small,0
L-03441,2023-01-10,0.8118761105873928,4,2,8905.344524087712,outbound,0,finance,large,1
L-00271,2023-01-10,0.6124393292531816,0,56,3589.5813801657455,event,1,retail,medium,0
L-02711,2023-01-10,0.24592765058913602,5,45,2373.3117563737424,organic,1,healthcare,small,1
L-00453,2023-01-10,0.790243155389435,2,26,5070.084231733521,referral,1,retail,medium,1
L-01743,2023-01-10,0.5107564867485148,6,54,17203.47937475922,event,1,finance,large,1
L-03118,2023-01-10,0.05377470956855546,3,8,11506.544301979458,paid_search,1,healthcare,large,0
L-03308,2023-01-10,0.18393445246901974,0,40,9431.669396935691,paid_search,0,saas,large,0
L-01179,2023-01-10,0.5072341775608206,4,11,5887.275544649545,outbound,1,manufacturing,medium,1
L-00428,2023-01-11,0.6316285421713178,2,3,6614.893224988123,outbound,0,retail,medium,1
L-03996,2023-01-11,0.5806776685092404,5,53,5105.651168244749,referral,1,finance,medium,1
L-02468,2023-01-11,0.9918953187295984,2,24,5916.843632078093,outbound,1,healthcare,medium,1
L-02409,2023-01-11,0.16342928813683655,1,34,6960.437377944931,outbound,1,retail,medium,0
L-01398,2023-01-11,0.6919570984497087,3,43,6737.055811944808,referral,0,saas,medium,1
L-02328,2023-01-11,0.8400570085219016,4,7,4633.568713264448,outbound,0,healthcare,medium,1
L-02222,2023-01-11,0.33446289220521874,3,37,11487.43984393164,outbound,0,retail,large,0
L-03485,2023-01-11,0.912582547697302,3,24,3911.4642607501223,paid_search,1,retail,medium,1
L-02635,2023-01-11,0.05303237167188446,7,46,9730.666573120494,outbound,0,retail,large,1
L-01299,2023-01-12,0.02647910130496345,2,49,4498.888223197592,outbound,1,healthcare,medium,0
L-01492,2023-01-12,0.855962508813682,3,38,1626.102219053455,paid_search,0,retail,small,0
L-00829,2023-01-12,0.7363540971470223,5,35,2653.9472021205347,referral,1,saas,small,1
L-01589,2023-01-12,0.29259458984912357,2,23,4376.847980946797,outbound,1,saas,medium,1
L-00384,2023-01-13,0.04725033885648511,1,59,6380.232652790249,organic,1,manufacturing,medium,0
L-01943,2023-01-13,0.6083007569713649,5,4,3828.5235489488296,event,1,healthcare,medium,0
L-02950,2023-01-13,0.22781115108638406,2,54,1115.4426598621674,referral,1,finance,small,1
L-03681,2023-01-13,0.37301476707773407,7,57,14701.161654202875,organic,1,saas,large,0
L-03457,2023-01-13,0.6459475709168853,7,28,10538.651229248384,organic,0,retail,large,1
L-02498,2023-01-13,0.8561950631484166,6,28,3612.8374280587864,organic,1,saas,medium,0
L-02558,2023-01-13,0.02448344146761039,3,45,3317.9301091455227,referral,0,saas,medium,0
L-01535,2023-01-13,0.7953234625277513,7,27,2966.594208757206,organic,0,retail,small,0
L-03536,2023-01-13,0.2978748426431058,3,15,11356.788020096594,organic,0,manufacturing,large,0
L-01868,2023-01-13,0.6201126289473403,4,32,4792.309562158615,outbound,1,manufacturing,medium,0
L-00137,2023-01-13,0.7739394386376562,3,34,16734.13845730452,outbound,0,manufacturing,large,1
L-00786,2023-01-13,0.6868495657664668,4,18,3924.133659858265,organic,1,manufacturing,medium,1
L-02262,2023-01-13,0.2831350763875111,3,5,3382.67964457583,organic,0,retail,medium,0
L-00146,2023-01-14,0.09434150263965546,2,22,14445.418313183494,referral,1,saas,large,1
