customer_id,visit,amount,channel,outcome
C000,0,63.4820884738831,web,1
C000,1,68.25282707674222,store,1
C000,2,86.63723991391197,web,1
C000,3,76.59147749832255,store,1
C000,4,53.58602705415353,web,1
C001,0,49.94796735828068,web,0
C001,1,43.76536259011607,store,0
C001,2,51.48631523252026,web,0
C001,3,33.91812215813611,store,0
C001,4,52.417718768768516,web,0
C002,0,52.353809187374544,web,0
C002,1,65.75626031431463,store,0
C002,2,53.16645016471902,web,0
C002,3,55.105466616976415,store,0
C002,4,35.068833150357676,web,0
C003,0,72.52729124724027,web,0
C003,1,30.843544420416997,store,0
C003,2,61.018018558224846,web,0
C003,3,46.7009592612615,store,0
C003,4,41.19353482072203,web,0
C004,0,63.43714989070969,web,1
C004,1,63.279853193413445,store,1
C004,2,73.80189092248992,web,1
C004,3,68.89941304721948,store,1
C004,4,84.82571163033857,web,1
C005,0,31.703959765546493,web,0
C005,1,49.96919035334149,store,0
C005,2,41.07944211678409,web,0
C005,3,57.7587184745806,store,0
C005,4,28.81939957814932,web,0
C006,0,46.563056499005185,web,0
C006,1,52.101729273361016,store,0
C006,2,35.157314160036485,web,0
C006,3,59.85215582858188,store,0
C006,4,51.78713429118396,web,0
C007,0,60.06856770707084,web,0
C007,1,59.59184858674511,store,0
C007,2,40.201454336253235,web,0
C007,3,42.022042421104615,store,0
C007,4,47.96667514228098,web,0
C008,0,77.47959725963135,web,1
C008,1,78.50967290975544,store,1
C008,2,62.90315129291315,web,1
C008,3,63.92802814744669,store,1
C008,4,62.02177084833471,web,1
C009,0,44.15761770842653,web,0
C009,1,47.62076622435274,store,0
C009,2,48.681849523097355,web,0
C009,3,70.5811446849771,store,0
C009,4,44.9359634021357,web,0
C010,0,47.11275632970778,web,0
C010,1,54.58577729094028,store,0
C010,2,40.469259344300745,web,0
C010,3,46.3137285087759,store,0
C010,4,50.13318481161013,web,0
C011,0,57.74145947017264,web,0
C011,1,36.83985141253243,store,0
C011,2,63.71469457287023,web,0
C011,3,46.47542634098396,store,0
C011,4,51.69416421103625,web,0
C012,0,78.4708830393451,web,1
C012,1,76.60792921727025,store,1
C012,2,80.59231886175496,web,1
C012,3,71.73197816431878,store,1
C012,4,69.80386646625493,web,1
C013,0,53.164785392796006,web,0
C013,1,40.04284609813415,store,0
C013,2,62.14187368984199,web,0
C013,3,42.246137513589716,store,0
C013,4,37.39756120117408,web,0
C014,0,70.56408780938528,web,0
C014,1,48.63555060487149,store,0
C014,2,38.20875127670052,web,0
C014,3,68.52269720112929,store,0
C014,4,46.702873755749,web,0
C015,0,60.62075787785562,web,0
C015,1,41.70511276652524,store,0
C015,2,47.51219978745369,web,0
C015,3,33.114706465236424,store,0
C015,4,30.91060641164728,web,0
C016,0,60.23565411937267,web,1
C016,1,69.21960981468904,store,1
C016,2,77.97985710186043,web,1
C016,3,94.26220501220823,store,1
C016,4,59.681370049053896,web,1
C017,0,60.09040299768831,web,0
C017,1,43.95659041514101,store,0
C017,2,48.47470693897149,web,0
C017,3,35.188083817027604,store,0
C017,4,35.210142631295774,web,0
C018,0,42.21539397199492,web,0
C018,1,38.0688937769938,store,0
C018,2,49.96445609323508,web,0
C018,3,42.97485536201479,store,0
C018,4,62.50697073747889,web,0
C019,0,51.53019711281495,web,0
C019,1,51.65238189257218,store,0
C019,2,61.37435198692834,web,0
C019,3,55.18112269036693,store,0
C019,4,49.62667017913931,web,0
