customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_count,total_spend,last_order,first_order,avg_order_value,days_since_last_order,lifetime_days,item_count,unique_products,unique_sellers,avg_price,review_count,avg_review_score,latest_review_score,purchase_within_60d,revenue_60d,customer_value_90d,days_to_next_purchase,as_of_date,entity_id,customer_state_code,customer_zip_prefix,category_count,review_score
06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP,1,146.87,2017-05-16 15:05:35,2017-05-16 15:05:35,146.87,107,0,1.0,1.0,1.0,124.99,1.0,4.0,4.0,0,0.0,0.0,365.0,2017-09-01,861eff4711a542e4b93843c6dd7febb0,25,14409,1.0,4.0
9b8ce803689b3562defaad4613ef426f,7f3a72e8f988c6e735ba118d54f47458,5416,sao paulo,SP,1,102.03,2017-05-11 13:48:47,2017-05-11 13:48:47,102.03,112,0,1.0,1.0,1.0,89.9,0.0,0.0,0.0,0,0.0,0.0,365.0,2017-09-01,7f3a72e8f988c6e735ba118d54f47458,25,5416,1.0,0.0
237098a64674ae89babdc426746260fc,4390ddbb6276a66ff1736a6710205dca,82820,curitiba,PR,1,94.63,2017-04-14 11:24:56,2017-04-14 11:24:56,94.63,139,0,1.0,1.0,1.0,79.9,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,4390ddbb6276a66ff1736a6710205dca,17,82820,1.0,5.0
6e359a57a91f84095cc64e1b351aef8c,2e6a42a9b5cbb0da62988694f18ee295,4571,sao paulo,SP,1,47.59,2017-05-15 17:58:25,2017-05-15 17:58:25,47.59,108,0,1.0,1.0,1.0,29.99,1.0,3.0,3.0,0,0.0,0.0,365.0,2017-09-01,2e6a42a9b5cbb0da62988694f18ee295,25,4571,1.0,3.0
4d27341acd30a36bca39008ee9bb9050,e021e698833bdeb89dfef3acb2e91f37,89254,jaragua do sul,SC,1,239.64,2017-01-26 11:14:58,2017-01-26 11:14:58,239.64,217,0,1.0,1.0,1.0,223.9,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,e021e698833bdeb89dfef3acb2e91f37,23,89254,1.0,5.0
8276de07ef25225d412b8462d73f8664,332cf4e83e16004ba7dca932ce82475b,90010,porto alegre,RS,1,146.21,2017-04-02 22:15:27,2017-04-02 22:15:27,146.21,151,0,1.0,1.0,1.0,129.6,1.0,4.0,4.0,0,0.0,0.0,365.0,2017-09-01,332cf4e83e16004ba7dca932ce82475b,22,90010,1.0,4.0
0aae2862f8eac77f10a34f44860720ac,cd076285a12f40041b32f5ad8c98699f,5890,sao paulo,SP,1,61.1,2017-03-23 11:07:12,2017-03-23 11:07:12,61.1,161,0,2.0,1.0,1.0,14.99,1.0,4.0,4.0,0,0.0,0.0,365.0,2017-09-01,cd076285a12f40041b32f5ad8c98699f,25,5890,1.0,4.0
8392e3d4cfeec63f2a8bfea68bf1f91f,fd2d5fdb84e65fa6b54b98b0e2df5645,59655,areia branca,RN,1,80.57,2017-05-22 19:23:14,2017-05-22 19:23:14,80.57,101,0,1.0,1.0,1.0,44.9,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,fd2d5fdb84e65fa6b54b98b0e2df5645,19,59655,1.0,5.0
38d1cd89306128348ffdf4cc23f3a50a,d491a65a6ef3c04e145d37395996bad7,4548,sao paulo,SP,1,27.71,2017-03-16 16:41:44,2017-03-16 16:41:44,27.71,168,0,1.0,1.0,1.0,18.99,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,d491a65a6ef3c04e145d37395996bad7,25,4548,1.0,5.0
126cf4e9fd189d2d64bc9b112fd6a5e8,90d479448b39ad9586d05da64cfb695b,62016,sobral,CE,1,163.46,2017-03-28 11:16:48,2017-03-28 11:16:48,163.46,156,0,1.0,1.0,1.0,138.0,1.0,2.0,2.0,0,0.0,0.0,365.0,2017-09-01,90d479448b39ad9586d05da64cfb695b,5,62016,1.0,2.0
b80adce6a72fc096b80a540312a24a95,8728c766c84eeda24b3e54fe6e632051,53437,paulista,PE,1,144.26,2017-05-29 23:18:24,2017-05-29 23:18:24,144.26,94,0,1.0,1.0,1.0,117.3,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,8728c766c84eeda24b3e54fe6e632051,15,53437,1.0,5.0
eb67e9bd3357fbacdbef99759f919573,4bc7250d4b42b3374eb6f41b12429592,4710,sao paulo,SP,1,251.28,2017-02-06 16:49:19,2017-02-06 16:49:19,251.28,206,0,1.0,1.0,1.0,239.0,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,4bc7250d4b42b3374eb6f41b12429592,25,4710,1.0,5.0
af9d76931724cedc3b32de0c5aabcc8a,93bf5d4e752358fa9ea738ebf793cb79,30664,belo horizonte,MG,1,24.09,2017-05-21 15:46:48,2017-05-21 15:46:48,24.09,102,0,1.0,1.0,1.0,9.99,1.0,4.0,4.0,0,0.0,0.0,365.0,2017-09-01,93bf5d4e752358fa9ea738ebf793cb79,10,30664,1.0,4.0
b0964d76975dbc174b623b5a300973d5,24a5c2b24a4467c37e2f54c1b311de93,86990,marialva,PR,1,200.36,2017-02-08 16:06:47,2017-02-08 16:06:47,200.36,204,0,1.0,1.0,1.0,184.9,1.0,1.0,1.0,0,0.0,0.0,365.0,2017-09-01,24a5c2b24a4467c37e2f54c1b311de93,17,86990,1.0,1.0
c82a5e4fafdbeb34f08928ccfba27d14,ca19a17e381182923b66007a351574b7,85854,foz do iguacu,PR,1,47.74,2017-05-15 23:34:21,2017-05-15 23:34:21,47.74,108,0,1.0,1.0,1.0,32.64,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,ca19a17e381182923b66007a351574b7,17,85854,1.0,5.0
7e468d618e16c6e1373fb2c4a522c969,96b1c916f245f2462efcde3fce04bc3e,30421,belo horizonte,MG,1,185.61,2017-02-13 07:34:18,2017-02-13 07:34:18,185.61,199,0,1.0,1.0,1.0,168.0,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,96b1c916f245f2462efcde3fce04bc3e,10,30421,1.0,5.0
dc53883e94804c81b4afdf2c23478d97,5ece49e012285b9003d084a4ea8a9c94,9862,sao bernardo do campo,SP,1,261.76,2017-05-06 11:09:15,2017-05-06 11:09:15,261.76,117,0,1.0,1.0,1.0,241.1,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,5ece49e012285b9003d084a4ea8a9c94,25,9862,1.0,5.0
d6ea00d4a2dca6a01c708931b325a9e5,1d4626b197f66aa6129c135ab09f1a7b,73020,brasilia,DF,1,679.43,2017-02-13 10:20:42,2017-02-13 10:20:42,679.43,199,0,1.0,1.0,1.0,635.9,1.0,4.0,4.0,0,0.0,0.0,365.0,2017-09-01,1d4626b197f66aa6129c135ab09f1a7b,6,73020,1.0,4.0
2f79ca5a979f66eb36747f4b354be942,bb50112c998293f45f49f49704165768,88840,urussanga,SC,1,34.0,2017-05-23 08:19:35,2017-05-23 08:19:35,34.0,100,0,1.0,1.0,1.0,18.9,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,bb50112c998293f45f49f49704165768,23,88840,1.0,5.0
3469ebe2f9aa5e08f1a85ecf20b549e0,755bdc2822a8f01cfcec19ae4dcaae66,5590,sao paulo,SP,1,130.22,2017-03-10 20:04:32,2017-03-10 20:04:32,130.22,174,0,1.0,1.0,1.0,118.0,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,755bdc2822a8f01cfcec19ae4dcaae66,25,5590,1.0,5.0
e559ddc91d9410c38d576e423ffbb67b,de53649541ad2006de823720ad65ca77,30330,belo horizonte,MG,1,175.85,2017-02-09 10:40:05,2017-02-09 10:40:05,175.85,203,0,1.0,1.0,1.0,157.0,1.0,3.0,3.0,0,0.0,0.0,365.0,2017-09-01,de53649541ad2006de823720ad65ca77,10,30330,1.0,3.0
0981cb5376215f2570ccacd95d6ef3f6,8377420a8b3549f6f40dca93815ee602,4723,sao paulo,SP,1,159.14,2017-05-22 16:11:48,2017-05-22 16:11:48,159.14,101,0,1.0,1.0,1.0,149.9,1.0,5.0,5.0,0,0.0,0.0,365.0,2017-09-01,8377420a8b3549f6f40dca93815ee602,25,4723,1.0,5.0
