entity_id,as_of_date,channel,past_response_rate,prior_response_count,days_since_last_campaign,customer_segment,responded
M-01481,2023-01-01,direct_mail,0.23673459807606817,3,12,standard,0
M-03673,2023-01-01,email,0.4447874666325655,1,106,standard,1
M-01408,2023-01-01,sms,0.08213455814507263,3,33,at_risk,0
M-02441,2023-01-01,email,0.2961169175364375,1,20,standard,1
M-01948,2023-01-01,email,0.5859390023447821,0,100,at_risk,1
M-02315,2023-01-01,email,0.3846773848516447,2,102,new,0
M-01995,2023-01-01,direct_mail,0.006147114984796637,2,31,high_value,0
M-01487,2023-01-01,email,0.4694456261593743,0,17,at_risk,1
M-02258,2023-01-01,direct_mail,0.47215078757290446,1,15,standard,1
M-02788,2023-01-02,email,0.38765384718216456,1,95,standard,0
M-02627,2023-01-02,email,0.06871510011814709,0,119,new,0
M-03233,2023-01-02,push,0.05425051529959616,0,117,new,0
M-01236,2023-01-02,push,0.22362528854413938,3,106,new,1
M-01621,2023-01-02,email,0.55443809141876,0,14,new,0
M-00772,2023-01-02,sms,0.029514787188737825,4,82,new,1
M-00900,2023-01-02,direct_mail,0.3169407799702096,2,88,new,1
M-01912,2023-01-02,email,0.25333762378235053,0,70,standard,1
M-03190,2023-01-02,direct_mail,0.013363308636110186,1,27,standard,0
M-01738,2023-01-02,sms,0.09134056401227746,1,58,at_risk,1
M-01549,2023-01-02,push,0.5812525177616716,2,31,new,1
M-01293,2023-01-02,push,0.08641727041071967,2,6,new,0
M-00464,2023-01-03,sms,0.39461325062525826,1,15,new,0
M-00845,2023-01-03,email,0.21850223990987594,0,74,new,1
M-02400,2023-01-03,push,0.085286863569647,2,87,high_value,0
M-00103,2023-01-03,push,0.33581943752616505,1,27,at_risk,0
M-00574,2023-01-03,sms,0.45674259491724295,0,85,high_value,1
M-02645,2023-01-03,sms,0.29370033172607973,1,100,standard,1
M-00844,2023-01-03,email,0.30545195990414853,0,23,standard,0
M-00380,2023-01-03,email,0.13427171241368896,1,96,new,0
M-03216,2023-01-03,direct_mail,0.052798617974127306,2,12,standard,1
M-01189,2023-01-03,email,0.4156599436005552,1,47,new,0
M-00302,2023-01-04,push,0.08076135377426959,2,52,standard,1
M-01278,2023-01-04,push,0.5763287849548937,0,29,high_value,1
M-00706,2023-01-04,sms,0.5383637747957336,2,88,new,0
