feature,segment,outcome
-0.6193569716872237,a,0
-1.1358045484648884,a,0
0.8060181486386833,a,1
0.3076776059715344,a,1
-1.519659603424413,a,0
-0.07383481124417844,c,0
-0.054726730288988765,a,0
0.48416153061516864,b,1
-1.6550665057185587,b,0
0.9104270410618226,c,1
-0.6272970951060125,a,0
0.012217350702853551,c,1
-0.17478913285355252,a,0
-0.552108849621571,a,0
0.7388727012759978,b,1
0.1110892752628483,b,0
-1.2248325161741922,a,0
0.19019152958534014,b,1
1.3069674570453005,c,1
0.21878813985911533,a,0
-0.6646747240060564,b,0
1.0259216711931545,c,1
-0.1363324566556011,a,0
0.06259469538351331,c,0
0.9743466809595474,c,1
-0.9880678708458405,a,0
0.0877728105488973,a,1
0.23290222072305827,a,1
0.20908341999863242,c,0
-0.4603337451965851,a,0
-1.1983713300919292,a,0
-1.7578388614597882,b,0
0.3267991158465523,c,0
0.4319148980171715,a,1
0.43678937879485946,b,0
-0.3482684050819561,b,0
-0.004065636278368368,b,0
0.13580375005212805,a,0
0.06404952531695232,c,1
-0.22401731045488205,c,0
0.590839107684692,b,1
1.2488262746799121,a,1
2.2731291741982345,c,1
0.5066504304050682,a,0
0.7457463676366963,a,1
-0.6565300012685887,c,1
0.1481740228335349,a,0
-0.8390768988690289,a,0
-1.1239184139743164,a,0
1.4986974147326528,b,1
0.0002482803016226196,a,0
-0.794915050025431,b,1
-0.43413988624014194,c,0
0.7124403037130185,b,1
-0.9602822684529527,c,0
0.22518731133517247,c,1
-0.01117327779223232,a,1
1.5925314508740513,a,1
0.20084155372839557,c,0
1.4652935629538986,c,1
0.11695359318479277,c,0
1.431175845661267,a,1
-0.4594224183594916,a,0
0.25853066205033626,b,1
0.25431082296769897,b,1
-0.3471064093756169,b,0
-1.0063610368424605,a,0
-1.0330363063210508,b,0
0.6071073168296313,c,1
-0.571713444475719,c,0
-0.05429723327124121,b,1
0.7452061388488073,b,1
0.024143495964694808,c,0
0.5547145722036017,b,1
-0.24315713679056994,c,0
-1.4342511638335518,a,0
1.9487918968771125,c,1
0.9640657136599656,c,1
0.8787243093034396,c,1
-0.38593951818951805,a,0
0.3664244985089156,b,1
-0.5341069167596771,a,0
-0.07976002458039984,a,1
0.6133965738035743,c,1
0.4147702105773825,c,1
0.8778141181591532,c,1
0.2164827785401836,b,1
-0.3578724885290201,c,1
0.9424096865445722,c,1
-0.20535399404378005,a,0
1.2376341092121423,a,1
-0.6289614185745981,a,1
0.07979346099512243,c,1
-0.3625951132914214,b,0
-0.20799983597050892,a,1
1.644080372905594,b,1
0.5137631893294349,b,0
1.5685987930290113,b,1
0.2707519012484108,a,0
1.4977424459170066,b,1
-2.195167211024196,c,0
0.8412858367970113,a,1
0.19752472199591692,c,1
-2.7399826163808862,a,0
1.0267568341915827,a,1
-1.9861367302995632,a,0
-1.72768802508592,a,0
-0.7315333946017021,c,0
0.33137801192062905,c,0
1.5907008265417608,b,1
