feature,segment,outcome
0.06636871195262484,large,1
-0.4093542743585796,large,0
0.2711920703712241,large,1
0.03500005863127654,large,0
1.0790248870298156,large,1
0.9401721649473169,small,1
0.1704117109386745,small,1
0.7908687601853617,large,1
2.0019721886389776,small,1
-1.9866954572901474,large,0
0.6536033583665207,large,1
0.02498645993165879,small,0
-0.6511933878300952,small,0
0.30368472878708935,small,1
0.7757122416999935,large,1
-0.8423202498423011,large,0
-1.6540784908252373,large,0
-0.2655533219353776,large,1
-1.02408015947833,small,0
0.2705944054246502,small,1
0.2568033269840403,large,1
-2.5431949380122494,small,0
0.11621361349893504,large,1
0.2408168559746611,small,0
-0.654196598991133,large,0
0.0890575664017774,small,1
0.02103717655243497,large,1
0.648358749719497,small,1
0.9045677945916664,large,1
-0.9568861871902716,small,0
-0.5772547444442977,small,0
-0.29179690284231874,small,0
0.5381307286482061,small,0
-0.10863350514756515,small,1
-0.012015338333217185,large,0
-0.6893278313891874,large,0
0.3852579984383559,small,1
0.9438727221525405,large,1
-0.06920469969374558,small,0
-0.35742220976561356,small,0
-0.9463382334836175,large,0
0.7031043082501718,small,1
0.8754018203353688,large,1
-1.2984927981957095,small,0
0.7303280347079396,small,1
1.2494163231057782,small,1
0.20554350839857008,small,0
1.028652269413771,large,1
0.6671697850134456,large,1
-0.7534485189124298,large,0
-0.7382744917473731,large,0
2.0100304249774936,large,1
-0.29289021990523567,small,0
-0.23649699301081087,small,0
-0.8945120944759801,large,0
1.375332790484196,large,1
-1.5428754976692922,small,0
0.6722936605793758,large,1
1.3835144542937863,small,1
0.5294233819920955,small,1
0.9984464291665195,small,1
-0.05597628023851438,large,0
-0.696641003208717,small,0
-0.9770707994564162,small,0
0.826635339610525,small,1
0.7727955933595978,large,1
-0.9601593973047249,small,0
0.722041966345267,large,1
0.15260884351295084,large,0
-0.03613893889057355,large,1
-0.3462653576592174,small,0
-0.9804617652849481,small,0
2.009618471882211,large,1
1.087464696489987,large,1
2.5866419907039617,large,1
1.6585595781835263,large,1
1.6739505463268782,large,1
-0.9388335971804741,large,0
1.3495885390403104,large,1
0.6061524084748666,large,1
-0.37554090320937816,small,0
1.9425979419883435,small,1
0.6094052673847146,small,1
0.09049776499748911,large,0
0.0324614612314254,large,1
-0.2635452139642382,large,0
-0.3473956483219522,large,0
-0.9850033292055141,large,0
-0.9190382506850576,small,0
0.31826195480747044,large,0
0.17704212375639367,small,1
0.8178083851230679,small,1
-0.0890969233451922,large,0
-0.73991985593657,large,0
1.1459029451832603,large,1
-0.35440187879565377,large,0
0.10493986861209911,small,0
0.6530929500304274,large,1
-0.5285203376368562,small,0
0.13263051236268392,small,1
1.691280139111194,small,1
-0.6664352814230299,large,0
0.4565884823848436,large,0
0.9820190213959951,large,1
-0.5804635426238447,large,0
-1.5636021912884401,small,0
0.7631804947749533,small,1
2.3176421162513727,large,1
-0.7286213659238552,large,0
-1.483666024290014,large,0
