entity_id,as_of_date,tenure_days,usage_score,product_breadth,support_ticket_count,last_purchase_days_ago,current_spend,tenure_band,upsell_converted
U-01481,2023-01-01,213,0.00031441964408696066,1,0,46,888.5230072630783,established,1
U-03673,2023-01-01,1380,0.40157095380329677,2,1,133,502.0956251840792,veteran,1
U-01408,2023-01-01,1132,0.22650558193117554,4,1,173,217.07228529427178,veteran,0
U-02441,2023-01-01,570,0.9108854030955976,9,0,143,348.277416250624,established,1
U-01948,2023-01-01,1871,0.3683710825935145,2,0,72,898.8418534327603,veteran,1
U-02315,2023-01-01,142,0.5058310965565258,1,3,97,257.1874939576986,new,1
U-01995,2023-01-01,443,0.3762807443485312,5,6,30,346.9230134934471,established,0
U-01487,2023-01-01,1536,0.14317875048604778,7,0,70,2768.8895198029313,veteran,0
U-02258,2023-01-01,1474,0.4821927896583025,2,2,124,818.3426608700363,veteran,1
U-02788,2023-01-02,516,0.758255782004861,2,2,24,693.3222754361253,established,0
U-02627,2023-01-02,1244,0.5830142662212422,6,3,13,1417.52518322038,veteran,1
U-03233,2023-01-02,750,0.3738529048034903,1,1,107,582.0235019338517,veteran,0
U-01236,2023-01-02,1129,0.18414018669340915,8,1,29,406.38743376755895,veteran,0
U-01621,2023-01-02,118,0.311771458777917,8,1,7,289.0439990943751,new,1
U-00772,2023-01-02,379,0.00440092190355057,2,0,106,791.0196136307046,established,0
U-00900,2023-01-02,710,0.49882892442682103,9,1,150,454.32087452685084,established,1
U-01912,2023-01-02,1386,0.5290106000735676,2,1,154,751.7032119986206,veteran,0
U-03190,2023-01-02,966,0.5266309332452249,2,0,1,888.8109895132079,veteran,1
U-01738,2023-01-02,472,0.9140605803264515,5,1,21,618.5086116770747,established,1
U-01549,2023-01-02,1515,0.4547927573170498,7,2,91,713.8402831319763,veteran,1
U-01293,2023-01-02,1466,0.6681664768591647,7,0,53,999.8204655380554,veteran,1
U-00464,2023-01-03,908,0.17491695277071884,6,0,104,1119.7515876401849,veteran,0
U-00845,2023-01-03,1537,0.301461667988017,6,1,171,777.1332438510666,veteran,0
U-02400,2023-01-03,1088,0.16108701142418524,5,0,74,705.0498346303211,veteran,1
U-00103,2023-01-03,61,0.3058372404125671,7,1,52,1462.7816069166329,new,1
U-00574,2023-01-03,1431,0.8486686871473293,4,0,50,604.6764071486132,veteran,1
U-02645,2023-01-03,1424,0.09995471921130272,2,4,76,913.7388354178449,veteran,0
U-00844,2023-01-03,1509,0.3948408927006323,5,1,166,1053.6303734670785,veteran,1
U-00380,2023-01-03,1881,0.521997387045736,2,3,178,362.56147056618,veteran,0
U-03216,2023-01-03,1236,0.6908867964312853,6,3,17,773.1348248981813,veteran,1
U-01189,2023-01-03,611,0.5724895757887801,1,1,152,343.5312412485987,established,0
U-00302,2023-01-04,292,0.9973107425466341,2,2,10,1327.249145953819,established,1
U-01278,2023-01-04,774,0.17778610758077462,2,3,154,1504.5298749483393,veteran,0
U-00706,2023-01-04,956,0.08644741326880623,7,0,13,679.9631398669461,veteran,1
U-02201,2023-01-04,1907,0.49832382412209053,3,1,14,425.90129957000426,veteran,0
U-03398,2023-01-04,106,0.9998608482078876,3,2,23,211.69851586308633,new,1
U-01174,2023-01-04,433,0.17439171782304852,3,2,21,907.2123462967646,established,0
U-01531,2023-01-04,1891,0.841431851143876,4,1,163,626.8643614067852,veteran,0
U-03724,2023-01-04,1778,0.8566151423839511,3,1,40,514.2058066699598,veteran,1
U-01806,2023-01-04,872,0.7052645499070364,7,2,67,868.909348700627,veteran,1
U-02442,2023-01-04,1092,0.8379796982340677,8,5,124,1038.077646808768,veteran,1
U-01681,2023-01-05,1580,0.37301476707773407,2,2,86,551.5911329269852,veteran,0
U-00789,2023-01-05,1202,0.6845514243787411,1,1,158,519.3943588941075,veteran,0
U-03903,2023-01-05,1919,0.662688239103272,9,2,85,1509.642582453761,veteran,1
U-00800,2023-01-05,1235,0.4368520075377743,4,1,156,716.6322679347553,veteran,1
U-01762,2023-01-05,413,0.7446459642015341,3,2,5,1197.070715646633,established,1
U-03798,2023-01-05,1105,0.379551107074678,3,1,131,529.3701136500448,veteran,0
U-03821,2023-01-05,1037,0.5780392479199319,1,2,105,398.3391694974736,veteran,1
U-01069,2023-01-05,1917,0.503177170232213,7,2,23,554.3102946052028,veteran,1
U-00838,2023-01-06,1705,0.12297077263205258,1,1,130,427.99831279188226,veteran,1
U-03102,2023-01-06,1304,0.5719023269668166,3,3,107,1779.5392433714246,veteran,0
U-01120,2023-01-06,1637,0.6226296740807937,9,1,158,356.2787461894509,veteran,0
U-01037,2023-01-06,1110,0.190095771748375,5,2,149,460.5074983728853,veteran,0
U-00409,2023-01-06,666,0.16342928813683655,3,2,86,919.9329499671395,established,1
U-02974,2023-01-07,631,0.5612175227827881,1,1,162,764.9863903030624,established,0
U-00888,2023-01-07,695,0.3938347561850223,9,1,73,376.5012241065112,established,1
U-03135,2023-01-07,981,0.676774305864818,8,0,33,281.5005343675353,veteran,1
U-03504,2023-01-07,1522,0.5325301291849333,4,1,29,451.0375565261493,veteran,1
U-01623,2023-01-07,1750,0.6145639412952608,9,0,36,984.1831932355059,veteran,1
U-01593,2023-01-08,1264,0.009435727627650548,5,1,41,877.3618355292094,veteran,1
U-00414,2023-01-08,997,0.2570200156484578,7,1,48,600.5269786041808,veteran,1
U-01651,2023-01-08,1485,0.4449008179668318,8,2,38,494.71162074231063,veteran,0
U-01365,2023-01-08,332,0.9518324486974689,7,0,177,278.7563322224637,established,1
U-00232,2023-01-08,1222,0.7323184221678151,3,2,6,560.3932564192023,veteran,1
U-00477,2023-01-08,755,0.23783538488179112,7,0,114,537.4658813673904,veteran,1
U-03857,2023-01-08,303,0.24222841097316028,8,1,146,706.1886422263127,established,0
U-03897,2023-01-08,1755,0.07404268746793197,6,0,174,834.2241671640929,veteran,1
U-02089,2023-01-08,1506,0.7292409788431715,3,1,161,186.2244820120632,veteran,0
U-03787,2023-01-09,1060,0.8466142061905151,9,1,99,545.2017544023871,veteran,1
U-00368,2023-01-09,1855,0.14662314286435274,5,1,146,655.3698679109901,veteran,0
U-03803,2023-01-09,1626,0.48339902788793465,2,1,97,783.0299129643148,veteran,0
U-01166,2023-01-09,1452,0.3663721549094904,3,1,5,224.59300557218577,veteran,1
U-02170,2023-01-09,1092,0.9809809410158142,1,1,61,1675.9134396534344,veteran,1
U-03804,2023-01-09,1523,0.22281982356387564,6,1,27,734.191414223318,veteran,1
U-01528,2023-01-09,82,0.9545678468728145,8,1,54,577.8794409668886,new,1
U-00299,2023-01-09,213,0.6880617331012702,1,3,127,456.43207525572996,established,0
U-00539,2023-01-09,1742,0.36610566221644936,4,0,75,591.6608093437975,veteran,1
U-03946,2023-01-10,1442,0.9327148731652056,6,3,77,946.4163943414882,veteran,1
U-00169,2023-01-10,1359,0.4595471512617503,2,2,65,988.758594624503,veteran,0
U-02137,2023-01-10,1471,0.19051972698740283,7,0,100,447.97597888693775,veteran,1
U-01782,2023-01-10,1770,0.4649998255035127,1,3,168,585.6040335979085,veteran,0
U-02260,2023-01-10,275,0.8849156631844819,1,1,47,2276.6738008364587,established,1
U-00820,2023-01-10,1092,0.7145520982700821,9,2,153,411.69870733194585,veteran,0
U-03441,2023-01-10,1287,0.8189428485310084,7,3,64,1195.3087176520537,veteran,1
U-00271,2023-01-10,1077,0.4785124609413839,4,0,134,148.8096390717877,veteran,1
U-02711,2023-01-10,731,0.856348715633756,3,1,101,147.7924656228546,veteran,0
U-00453,2023-01-10,1419,0.6604522384933692,7,1,0,536.3940226931535,veteran,1
U-01743,2023-01-10,931,0.8969427918333073,8,2,6,2010.789618057702,veteran,1
U-03118,2023-01-10,873,0.22988748454639696,5,3,47,910.8019224869898,veteran,1
U-03308,2023-01-10,1531,0.12641174364183894,1,2,73,1258.4020567714454,veteran,0
U-01179,2023-01-10,822,0.5283143955682554,6,1,124,1504.882136037128,veteran,1
U-00428,2023-01-11,1548,0.23686060312728807,3,2,7,887.3660337066374,veteran,0
U-03996,2023-01-11,1444,0.13532564261526192,2,1,95,1428.56482016476,veteran,1
U-02468,2023-01-11,1043,0.9539667171468871,7,2,124,367.54116328245567,veteran,0
U-02409,2023-01-11,1858,0.21183446145851137,1,3,39,318.9536663500797,veteran,0
U-01398,2023-01-11,1873,0.6878370599294981,3,3,65,1191.0644740112887,veteran,0
U-02328,2023-01-11,183,0.4030487826702711,4,2,150,937.0380613977292,established,0
U-02222,2023-01-11,1371,0.565049446252131,1,2,79,702.633465065343,veteran,1
U-03485,2023-01-11,1717,0.7904134900444079,6,0,149,657.7801025801947,veteran,0
U-02635,2023-01-11,230,0.2629140721288442,4,1,114,917.935011095679,established,0
U-01299,2023-01-12,1697,0.09255893873833287,6,1,97,592.0428360546169,veteran,1
U-01492,2023-01-12,378,0.237142863191092,7,2,41,714.6725900965406,established,0
U-00829,2023-01-12,989,0.9089730055498839,1,2,139,1340.7125435515852,veteran,0
U-01589,2023-01-12,1697,0.6137138167259192,6,1,80,948.4086716747669,veteran,1
U-00384,2023-01-13,785,0.8420195363242607,1,1,112,830.5670007985759,veteran,1
U-01943,2023-01-13,1312,0.8161156015412826,4,3,153,651.648503350188,veteran,0
U-02950,2023-01-13,1387,0.5953927794432744,3,0,149,662.0699634157761,veteran,0
U-03681,2023-01-13,1374,0.669800095180972,6,4,159,462.59754191889357,veteran,1
U-03457,2023-01-13,1427,0.8070011023955532,6,1,77,257.21826670195946,veteran,1
U-02498,2023-01-13,624,0.3740907132587359,2,1,67,540.3039606164516,established,0
U-02558,2023-01-13,1909,0.8754382397942415,9,1,146,422.9682617329459,veteran,1
U-01535,2023-01-13,1360,0.7521650668644404,9,1,57,771.6773424684465,veteran,1
U-03536,2023-01-13,467,0.5075046156100387,4,1,85,533.3124965462893,established,0
U-01868,2023-01-13,1851,0.12829732292427787,6,1,178,897.531951199365,veteran,0
U-00137,2023-01-13,539,0.8559708001741249,2,2,123,524.203382293196,established,0
U-00786,2023-01-13,1135,0.31889851884048703,1,1,80,287.98716738311464,veteran,1
U-02262,2023-01-13,490,0.05431027586070736,1,1,45,1366.8963523330192,established,0
U-00146,2023-01-14,844,0.031240978990649815,4,4,64,298.3627736228245,veteran,1
U-02321,2023-01-14,1964,0.3785065964886303,3,1,38,527.0715199167497,veteran,0
U-00843,2023-01-15,420,0.42907511598681936,8,1,40,561.6961861000115,established,1
U-03319,2023-01-15,142,0.3270197123445858,4,0,43,1560.0527541710835,new,0
U-01908,2023-01-15,1597,0.29223510613201487,7,1,66,813.7260151253142,veteran,0
U-00662,2023-01-15,335,0.4547692924755936,1,2,5,212.93100015573154,established,0
U-02763,2023-01-15,1736,0.6778880255203257,4,0,145,2839.7818482679877,veteran,1
U-03544,2023-01-15,819,0.5507877563307355,1,2,106,344.15480492489155,veteran,1
U-03632,2023-01-15,1982,0.8869311692981873,2,2,116,221.2973623239598,veteran,1
U-02865,2023-01-15,1969,0.3545126561783568,6,2,179,716.4791223134372,veteran,0
U-00327,2023-01-15,867,0.7414468065877132,3,0,114,291.59784880099113,veteran,1
U-00969,2023-01-15,1636,0.6212331782136635,7,5,106,610.8942490706565,veteran,1
U-01445,2023-01-15,729,0.27053962868541603,7,1,15,1027.2829535125773,established,1
U-01682,2023-01-15,780,0.1733087598959161,4,2,82,612.7002236252498,veteran,0
U-01265,2023-01-15,1778,0.049738765521068484,1,2,107,422.81061263049816,veteran,0
U-00116,2023-01-15,66,0.5895063304034679,9,0,51,1004.3848035770119,new,1
U-03754,2023-01-16,336,0.42448676748251024,7,3,118,290.2198554435365,established,0
U-02202,2023-01-16,466,0.5587935837241681,9,0,140,2541.3871324121924,established,0
U-03239,2023-01-16,1929,0.8464953462533984,7,3,34,200.10243662880228,veteran,1
U-02629,2023-01-16,605,0.6999461854286363,2,0,29,684.0857020428097,established,1
U-02037,2023-01-17,672,0.2845630692721185,7,1,65,1202.924286120934,established,1
U-01451,2023-01-17,1489,0.5744621935391577,9,0,47,789.5996233511235,veteran,1
U-00901,2023-01-17,1324,0.2884926031419477,9,0,161,733.4742456131369,veteran,0
U-00249,2023-01-17,775,0.8001999430365032,9,3,122,865.840854700291,veteran,1
U-02727,2023-01-17,1204,0.27513075532634,5,1,85,645.2043369670271,veteran,0
U-02771,2023-01-17,1379,0.582988625878554,5,3,154,565.4553441211326,veteran,1
U-02880,2023-01-17,651,0.06289124231952858,2,1,99,2219.917301796938,established,0
U-01018,2023-01-17,1567,0.6008493764070294,5,1,80,503.7156282693463,veteran,0
U-01098,2023-01-17,1877,0.8279241471565723,7,0,137,750.7417003061508,veteran,1
U-01239,2023-01-17,1807,0.564828363162763,7,2,152,183.05771847849402,veteran,1
U-00869,2023-01-17,1403,0.6353342430475842,7,1,74,1019.13823079595,veteran,1
U-00561,2023-01-18,857,0.2426253685256229,5,0,20,681.8440534603952,veteran,0
U-00055,2023-01-18,774,0.8496572024460699,7,2,58,433.21563996405115,veteran,1
U-02521,2023-01-18,186,0.4486706201548839,9,1,149,228.77631332435374,established,1
U-00396,2023-01-18,610,0.1803420983749422,5,0,34,653.8285304736864,established,0
U-00351,2023-01-18,1144,0.06834789039562739,9,2,139,232.0263582640121,veteran,1
U-03879,2023-01-18,213,0.9484069616377143,7,3,28,783.5537967468974,established,0
U-02370,2023-01-18,1982,0.8811653206259396,2,1,158,454.9402085449352,veteran,0
U-01870,2023-01-18,1580,0.6371084131782386,5,0,14,380.962062028701,veteran,1
U-02338,2023-01-18,1610,0.1509197553293914,7,1,82,807.2013416110003,veteran,1
U-00816,2023-01-18,1749,0.23637353540898454,8,0,68,278.83132521585236,veteran,0
U-01109,2023-01-18,591,0.8366812189776666,8,2,114,353.81776149378965,established,0
U-00810,2023-01-18,430,0.5175052443935492,9,3,119,573.9486399371192,established,1
U-03851,2023-01-19,1133,0.8397612482502805,9,0,24,443.5763632765021,veteran,1
U-01525,2023-01-19,228,0.9152457760303804,3,3,7,1211.2716879876848,established,1
U-03362,2023-01-19,32,0.8971098439566533,3,1,45,662.3433427468761,new,1
U-03012,2023-01-19,1493,0.005501174039798773,5,2,43,787.4058612496776,veteran,1
U-02779,2023-01-19,558,0.722906601964936,1,2,150,713.3534910955982,established,0
U-03870,2023-01-19,166,0.033428312711904384,2,0,135,262.62337627919715,new,0
U-01780,2023-01-19,411,0.995526179061942,3,0,176,366.22531718966775,established,0
U-01805,2023-01-19,323,0.7269007026541818,8,1,18,203.79057034047509,established,1
U-01517,2023-01-20,1358,0.19274289079074547,4,1,36,359.04154476294394,veteran,1
U-01462,2023-01-20,1423,0.10621744837643532,1,2,107,753.9635742158954,veteran,0
U-02883,2023-01-20,400,0.8018250365493811,9,1,104,444.76699385454197,established,1
U-01269,2023-01-20,1056,0.4903984172596335,1,1,106,575.0689452537117,veteran,1
U-01285,2023-01-20,1162,0.11228622980023839,1,0,111,454.0813539663861,veteran,0
