safe_feature,region,post_outcome_feature,target_proxy,outcome
33.099337067198384,S,1.0,100,1
25.137224097512615,N,1.0,100,1
47.36579753379691,N,1.0,100,1
47.899571767220216,S,0.0,0,0
43.0774523605901,S,0.0,0,0
35.72958454063014,N,1.0,100,1
43.66645615130804,N,0.0,0,0
44.979070156332405,S,1.0,100,1
31.82938407723428,S,0.0,0,0
47.467990097881966,N,0.0,0,0
14.615724998255235,S,0.0,0,0
24.531691681090045,N,0.0,0,0
36.752993660813864,N,1.0,100,1
38.69801090730106,N,0.0,0,0
26.428695039204218,S,1.0,100,1
43.94466367742764,N,0.0,0,0
52.66726878652587,N,0.0,0,0
45.81259337185176,N,1.0,100,1
43.094350658351665,N,1.0,100,1
49.938857980801245,S,0.0,0,0
45.25336571112127,N,1.0,100,1
26.69139355128786,S,1.0,100,1
37.56923867664031,S,0.0,0,0
55.89593272144459,S,1.0,100,1
26.350174971874033,S,0.0,0,0
41.14756247691037,N,1.0,100,1
35.330513868363255,N,0.0,0,0
29.223871587757568,S,0.0,0,0
27.861662100599734,S,0.0,0,0
41.21225408446805,N,0.0,0,0
43.784197203243565,N,0.0,0,0
43.7082259737973,S,0.0,0,0
22.647469975875456,N,0.0,0,0
36.53510915467952,N,0.0,0,0
44.148632736660645,S,0.0,0,0
51.7616925081922,S,1.0,100,1
48.47009744913626,N,1.0,100,1
50.379439774233326,S,1.0,100,1
53.56564098506623,N,1.0,100,1
49.88706233303011,N,0.0,0,0
30.2175590998264,S,0.0,0,0
41.09648954075217,N,1.0,100,1
31.442336996034644,N,0.0,0,0
11.822305589011126,S,1.0,100,1
20.229328648358823,S,1.0,100,1
65.46702179504402,N,1.0,100,1
26.59245480757768,N,0.0,0,0
13.094757736674635,S,0.0,0,0
33.38180155017059,S,1.0,100,1
58.6435007389903,S,1.0,100,1
39.8605074703267,S,1.0,100,1
45.29699962485053,S,1.0,100,1
37.15619503649472,S,1.0,100,1
39.401251694786154,S,1.0,100,1
55.599773951289585,N,1.0,100,1
49.55190235713192,N,0.0,0,0
38.96498129409277,N,0.0,0,0
51.09943965042833,S,1.0,100,1
52.89360235644034,S,0.0,0,0
37.77000774109745,N,1.0,100,1
43.239800943297894,N,0.0,0,0
43.04949363610396,N,0.0,0,0
32.38044554931148,N,1.0,100,1
54.21055234826116,S,1.0,100,1
