age,income,region,outcome
35.136371663282574,53788.79657643622,S,1
43.33459408096192,39318.49301099904,N,1
37.881600893277096,55099.34167546092,S,1
29.86394675618076,49755.33224389389,S,1
36.16208490708135,53877.3465276067,S,0
28.595204017984976,62802.849052749276,S,1
40.07817983043699,31753.137949245087,S,1
26.513605269212363,52087.585432427426,N,1
26.88526756845708,41207.0474946571,S,0
57.483541783663064,54737.5735312359,N,1
39.361789356335905,39493.49250057227,S,0
39.353175694335484,46036.803463968055,S,0
46.13843703901143,51621.87004608299,S,0
34.949715969413546,54908.07509148298,S,0
37.2575755902621,50598.35271469258,S,1
45.101784823982904,43657.35248809751,N,1
43.388990106932816,45571.74225827674,S,1
26.088439276810846,57076.02312999503,N,0
50.00011116003594,49956.003074507695,S,0
32.914780680531486,36529.48482527154,S,1
27.32705259622977,56749.30166615753,N,0
29.19429916001138,53329.98783770779,S,1
35.313455867736124,56987.32436201558,N,1
59.52760305547681,47306.98026898655,S,0
25.893569140950632,56625.25214741288,S,1
41.92091071041209,41511.4806399866,S,0
14.346107702913072,54559.99848692367,S,1
39.981196802257635,46076.95752297554,S,1
50.794797009712084,55394.81363936117,N,1
37.16004013526254,58045.15293133112,N,0
32.4477409133999,44112.07878393176,S,0
42.77813276870245,49590.16416401005,N,0
48.401821013807805,50311.637011647996,N,0
47.96389085220888,59517.318542725014,S,1
63.6696862471575,55684.46473095825,S,0
42.51000966803532,40245.77964791633,N,0
32.891078802964806,53660.86608566846,N,0
38.48824972016029,55960.71367503311,S,0
39.13001745256226,66990.44716742194,N,1
41.304848601737426,36566.80722596647,N,1
39.63966624124678,45709.18160052807,N,0
42.087591266754444,60666.96950469868,N,1
19.949799272618648,39159.43761114646,N,0
49.95554747248051,40404.31532860219,N,1
33.10312877294761,54136.65756304238,N,0
25.922095642635703,58147.26928703026,S,0
47.65301391569723,44650.55610099556,N,1
55.80791208863298,54321.01737833649,N,1
45.916337793993314,50935.64215543958,N,1
41.933911766146245,62149.99227214987,N,1
28.813356335536575,49987.852482330105,S,0
74.45880805376198,57921.97849574454,S,0
50.5631034479381,42775.05712548588,S,0
26.32846395588429,48520.96920430382,N,0
30.644345005123064,49226.36436990545,N,1
41.04375098286285,59112.8635798818,S,0
21.343226416048164,54636.90431616366,S,1
42.02356488412617,43985.97494965145,S,1
34.49114133144689,55455.74210943948,S,0
54.71524720379461,56165.050211420916,S,1
51.54585596353896,49106.83422144443,N,1
7.464574750782729,47938.70147974553,N,0
40.500431032327754,48449.57403661955,N,0
20.59039000571574,36440.06075208893,N,1
53.31565599098228,51509.94406499694,N,0
42.017270429533895,51876.62343381824,S,0
46.58086542624397,43075.77180992808,S,1
27.218503254360414,55939.56999900054,N,0
61.941162855946004,39016.264513411,N,0
64.24088040580534,45585.497428856346,S,0
27.22274748848545,46198.24744806758,S,1
44.47378146239579,65900.07865591136,N,0
31.920370859317757,37206.527493936956,S,0
39.717160757671216,54501.04204165009,S,0
24.812356249305232,57536.986220711704,N,0
62.405746174967426,53021.80451231894,S,1
28.369845867007985,59454.46355482712,S,0
36.446994220030064,41978.09850298862,N,1
46.01779517332627,31757.93118150249,N,1
32.22927185900646,56134.54311176211,S,0
37.12825084321237,40433.37468263128,S,0
33.23632184287643,47388.80098763252,N,0
38.39847094196447,40569.232020601776,N,0
25.953488378796365,58418.734855596245,S,1
34.74414309277239,56921.20187893937,S,0
