customer_id,age,income,region,outcome
customer-0,20,30000,north,0
customer-1,21,30713,south,0
customer-2,22,31426,east,0
customer-3,23,32139,west,0
customer-4,24,32852,north,0
customer-5,25,33565,south,0
customer-6,26,34278,east,0
customer-7,27,34991,west,1
customer-8,28,35704,north,1
customer-9,29,36417,south,1
customer-10,30,37130,east,1
customer-11,31,37843,west,1
customer-12,32,38556,north,1
customer-13,33,39269,south,1
customer-14,34,39982,east,1
customer-15,35,40695,west,1
customer-16,36,41408,north,1
customer-17,37,42121,south,1
customer-18,38,42834,east,1
customer-19,39,43547,west,1
customer-20,40,44260,north,1
customer-21,41,44973,south,1
customer-22,42,45686,east,1
customer-23,43,46399,west,1
customer-24,44,47112,north,1
customer-25,45,47825,south,1
customer-26,46,48538,east,1
customer-27,47,49251,west,1
customer-28,48,49964,north,1
customer-29,49,50677,south,1
customer-30,50,51390,east,1
customer-31,51,52103,west,1
customer-32,52,52816,north,1
customer-33,53,53529,south,1
customer-34,54,54242,east,1
customer-35,55,54955,west,1
customer-36,56,55668,north,1
customer-37,57,56381,south,1
customer-38,58,57094,east,1
customer-39,59,57807,west,1
customer-40,60,58520,north,1
customer-41,61,59233,south,1
customer-42,62,59946,east,1
customer-43,63,60659,west,1
customer-44,64,61372,north,1
customer-45,20,62085,south,0
customer-46,21,62798,east,0
customer-47,22,63511,west,0
customer-48,23,64224,north,0
customer-49,24,64937,south,1
customer-50,25,65650,east,1
customer-51,26,66363,west,1
customer-52,27,67076,north,1
customer-53,28,67789,south,1
customer-54,29,68502,east,1
customer-55,30,69215,west,1
customer-56,31,69928,north,1
customer-57,32,70641,south,1
customer-58,33,71354,east,1
customer-59,34,72067,west,1
customer-60,35,72780,north,1
customer-61,36,73493,south,1
customer-62,37,74206,east,1
customer-63,38,74919,west,1
customer-64,39,75632,north,1
customer-65,40,76345,south,1
customer-66,41,77058,east,1
customer-67,42,77771,west,1
customer-68,43,78484,north,1
customer-69,44,79197,south,1
customer-70,45,79910,east,1
customer-71,46,80623,west,1
customer-72,47,81336,north,1
customer-73,48,82049,south,1
customer-74,49,82762,east,1
customer-75,50,83475,west,1
customer-76,51,84188,north,1
customer-77,52,84901,south,1
customer-78,53,85614,east,1
customer-79,54,86327,west,1
customer-80,55,87040,north,1
customer-81,56,87753,south,1
customer-82,57,88466,east,1
customer-83,58,89179,west,1
customer-84,59,89892,north,1
customer-85,60,90605,south,1
customer-86,61,91318,east,1
customer-87,62,92031,west,1
customer-88,63,92744,north,1
customer-89,64,93457,south,1
customer-90,20,94170,east,0
customer-91,21,94883,west,1
customer-92,22,95596,north,1
customer-93,23,96309,south,1
customer-94,24,97022,east,1
customer-95,25,97735,west,1
customer-96,26,98448,north,1
customer-97,27,99161,south,1
customer-98,28,99874,east,1
customer-99,29,100587,west,1
