safe_feature,income,mostly_empty,policy_renewal_date,region,source_lat,source_lon,destination_lat,destination_lon,post_outcome_feature,target_proxy,outcome
40.69584834633463,55579.241565595985,,2024-01-15,N,44.404319549972975,-76.04614273235327,46.31422208149699,-101.8328585730128,0.0,0,0
17.387238207563932,44915.57787522615,,2024-01-15,N,33.26780370818998,-75.53518780693904,38.4611943827456,-101.63192021490954,1.0,100,1
37.09495978418055,38478.629458560914,,2024-11-20,N,25.27721767132958,-82.01620836734791,28.010846287522142,-71.71640964326755,0.0,0,0
26.89819815997471,41823.04085719499,,2024-11-20,N,36.43016776627171,-80.0688426840088,30.1570937630995,-97.19135670187204,0.0,0,0
47.66964209169133,45561.46733796593,1.0205470214778891,2024-06-01,N,30.05154159267943,-106.19477494767844,37.74999074608673,-109.62038447139761,0.0,0,0
46.77963669950249,54286.629557227345,1.2851724422873076,2024-01-15,S,28.4080894646288,-86.32176538334664,36.04376637062815,-84.04826647102755,1.0,100,1
53.98910588095106,48365.52810440288,1.004640041396865,2024-11-20,N,46.02186497726,-107.78821788557414,38.176063039620104,-77.31097840995108,1.0,100,1
31.859538463925354,46809.549487824515,,2024-01-15,S,26.966529666441335,-121.7235403834203,42.81999298525291,-106.42835132636941,0.0,0,0
46.87918435457868,48562.54902138198,,2024-01-15,S,29.6884006786897,-76.0379108252459,31.40623102248483,-84.39700899111371,0.0,0,0
25.06411853326079,58798.0549324114,,2024-01-15,S,27.350440782853557,-102.5235252310732,34.9997883452046,-79.74198990344345,1.0,100,1
45.25766821000406,45396.00881976304,,2024-11-20,S,30.410062441777377,-75.40932653093915,25.216668485640998,-109.16027096444991,1.0,100,1
38.23135288420576,,,2024-11-20,S,25.730597366963963,-98.61826855606175,38.63655898842267,-89.02685916953367,0.0,0,0
43.77268183692502,40179.257233931705,,2024-01-15,N,36.63947241247443,-117.84809636139306,46.06107943854518,-105.97048928054386,0.0,0,0
40.82119536648427,,,2024-11-20,N,42.594548934836396,-80.28035154139998,47.40624636196159,-81.56658094601454,0.0,0,0
53.074742557902155,56840.021208608065,,2024-06-01,S,35.19122560284383,-83.3687675545879,40.2872005651133,-80.57971655001671,0.0,0,0
36.83971519879736,,,2024-11-20,N,39.75386317341207,-71.78097447345878,36.70460367641915,-117.77932644035349,0.0,0,0
39.16038066304272,43155.92573536778,1.3071702801864118,2024-11-20,S,44.08745925347668,-85.85636180725658,26.18785737416849,-119.51877535733547,1.0,100,1
57.95700144762518,49127.72809308555,,2024-01-15,N,39.21624537515225,-74.00004460280937,32.059576620961515,-118.50339303112064,1.0,100,1
40.10207883953958,44328.56219121528,,2024-11-20,N,28.261812997982577,-93.28408058048565,39.99351889788491,-108.40503215335187,0.0,0,0
35.00060971901335,56808.17021553883,,2024-01-15,N,43.65605532058818,-113.83320244932422,35.09950502882815,-83.66347765539649,1.0,100,1
30.601386197574058,54317.92517621529,,2024-11-20,S,47.593175706705004,-70.36222279269778,37.24428349182569,-116.34224646436232,1.0,100,1
41.47873981200553,44295.125627174646,0.7668703719334352,2024-06-01,N,47.79701451047612,-115.0895294006089,27.64319243647928,-117.75710955656471,1.0,100,1
40.89766492087912,53177.46675460851,,2024-11-20,N,30.010625128104873,-92.85487073313038,31.49091553210921,-80.60559091979218,1.0,100,1
48.9438422527516,47062.83170340249,,2024-06-01,S,44.614718965250695,-118.84587917370965,31.12545923097967,-101.42028971987008,1.0,100,1
39.28806411389331,49424.66737800584,1.3937753465547447,2024-01-15,N,30.63775911620826,-104.2242116707051,25.84776615971719,-74.0333519327186,1.0,100,1
49.0725648821562,,,2024-11-20,N,31.496341312435508,-116.43381276392732,44.41059256848362,-77.77442464156837,0.0,0,0
38.158529821588836,45487.646053665805,0.9448502249873765,2024-01-15,N,34.36708106269948,-120.19401141103934,27.99658106302959,-91.97445164410718,1.0,100,1
59.846888025288486,53400.05826278625,1.2768095286801222,2024-06-01,S,40.426325588364286,-72.57243057797686,35.494878199164056,-108.40637513961194,0.0,0,0
40.32030714053698,53682.25918264077,,2024-11-20,N,33.36443057554704,-91.19682919640938,35.22125604278504,-97.38796585418481,0.0,0,0
48.968725415079845,53407.45324656155,,2024-01-15,N,31.384955916184822,-111.31961973281832,46.256447755931944,-83.60951656636317,0.0,0,0
45.87994386567836,58837.11765676872,0.9288699525048464,2024-06-01,S,32.499072108827534,-108.24521516702501,43.352993545736354,-120.77385622591272,1.0,100,1
25.657059802065156,47826.07085981069,,2024-01-15,S,25.743109560818144,-85.53166839160376,28.647932329333596,-81.11546004479638,1.0,100,1
53.16621089704901,38137.12509239845,,2024-11-20,N,38.36152773553299,-111.34533621864557,46.23958566686757,-87.9094927613232,0.0,0,0
35.89914148717568,46087.42395712233,,2024-06-01,S,39.85594547673818,-120.9870813046877,43.628567265510654,-90.2400398212606,0.0,0,0
51.82961841378561,51605.89511419043,,2024-11-20,N,35.10490561122144,-79.06875618512694,42.852833524126375,-82.2421148245056,0.0,0,0
17.122505355934447,,0.9034374242442865,2024-11-20,S,47.283991218958604,-90.90370394837618,42.60779848733354,-90.72244855729889,0.0,0,0
19.248964118717787,54629.50433380056,,2024-11-20,S,42.77575349921672,-103.49493869131331,46.69206464535314,-98.87435193992474,1.0,100,1
17.08389279507452,56451.342379618836,,2024-01-15,S,32.86970559989563,-83.58825002205793,45.1488725341845,-112.08927335702525,0.0,0,0
19.859729803560647,49059.280819939464,,2024-11-20,S,38.5385918608626,-114.6206024626482,41.590176971847306,-89.29317685444514,1.0,100,1
36.117966459574724,49117.03888370479,,2024-01-15,N,36.66975353185313,-86.23311121266364,37.07703476926571,-70.78290368719301,0.0,0,0
40.320801183870735,42100.739718670615,,2024-06-01,N,29.454411182702998,-102.52683889999263,39.195639754995625,-85.80366036515997,0.0,0,0
29.050059523679277,58264.76416393117,,2024-11-20,S,33.61348018814464,-94.070719595096,45.20293852707574,-109.19758749355834,0.0,0,0
36.61762737917843,47888.507397697314,,2024-01-15,S,40.33916618437964,-87.03225272598291,31.06462885376112,-97.7062150469139,0.0,0,0
32.56214950064482,41333.5385078486,,2024-11-20,N,33.13952018003413,-75.02158644889157,44.437586660551375,-75.54740697906236,0.0,0,0
